project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-lang3-3.12.0-src,226,165,1,9,51,0.7699,0.76,0.99,0.8639,0.994,0.15,0.7345,0.2655,0.7925,0.8823,0.1292,-0.0226,-0.0184,0.0208,0.05,0.24,0.08
commons-numbers-1.0-src,591,551,8,0,32,0.9323,0.95,0.99,0.965,0.9857,0.0,0.9459,0.0541,0.9871,0.9935,0.008,-0.0548,-0.0285,-0.008,0.11,0.26,0.13
JSON-java,24,16,3,0,5,0.6667,0.76,0.84,0.8,0.8421,0.0,0.7917,0.2083,0.9683,0.9839,0.01,-0.3016,-0.1839,-0.01,0.1,0.22,0.12
jsoup,67,37,0,0,30,0.5522,0.55,1.0,0.7115,1.0,0.0,0.5522,0.4478,0.8804,0.9361,0.0734,-0.3282,-0.2246,-0.0734,0.08,0.23,0.12
joda-time,111,52,0,0,59,0.4685,0.47,1.0,0.638,1.0,0.0,0.4685,0.5315,0.8797,0.9357,0.0751,-0.4112,-0.2977,-0.0751,0.08,0.22,0.11
spark,8,4,0,0,4,0.5,0.5,1.0,0.6667,1.0,0.0,0.5,0.5,0.8639,0.9265,0.0802,-0.3639,-0.2598,-0.0802,0.13,0.22,0.15
commons-jcs3-3.1-src,7,5,0,0,2,0.7143,0.71,1.0,0.8333,1.0,0.0,0.7143,0.2857,0.7645,0.8638,0.1275,-0.0502,-0.0305,-0.1275,0.1,0.21,0.11
commons-validator-1.7,34,34,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7497,0.8528,0.1635,0.2503,0.1472,-0.1635,0.11,0.21,0.15
bcel-6.5.0-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7207,0.8319,0.1767,-0.7207,-0.8319,-0.1767,0.12,0.25,0.15
commons-jexl3-3.2.1-src,11,11,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6397,0.7645,0.2313,0.3603,0.2355,-0.2313,0.06,0.21,0.09
commons-rng-1.4-src,6,6,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.619,0.7413,0.2774,0.381,0.2587,-0.2774,0.12,0.2,0.14
springside4,15,6,0,0,9,0.4,0.4,1.0,0.5714,1.0,0.0,0.4,0.6,0.5954,0.7181,0.2816,-0.1954,-0.1467,-0.2816,0.13,0.18,0.14
commons-configuration2-2.8.0-src,4,2,0,0,2,0.5,0.5,1.0,0.6667,1.0,0.0,0.5,0.5,0.5644,0.6782,0.3232,-0.0644,-0.0115,-0.3232,0.11,0.22,0.13
commons-net-3.8.0,1,1,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5552,0.6661,0.3304,0.4448,0.3339,-0.3304,0.18,0.12,0.15
all,1106,890,12,9,195,0.8128,0.82,0.99,0.8958,0.9867,0.0441,0.8156,0.1844,0.8367,0.9103,0.0894,-0.0239,-0.0145,-0.0453,0.1,0.25,0.12
