project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-numbers-1.0-src,26,21,0,0,5,0.8077,0.81,1.0,0.8936,1.0,0.0,0.8077,0.1923,0.9871,0.9935,0.008,-0.1794,-0.0999,-0.008,0.07,0.21,0.08
JSON-java,8,5,3,0,0,0.625,1.0,0.62,0.7692,0.625,0.0,1.0,0.0,0.9683,0.9839,0.01,-0.3433,-0.2147,-0.01,0.06,0.21,0.1
jsoup,19,2,0,0,17,0.1053,0.11,1.0,0.1905,1.0,0.0,0.1053,0.8947,0.8804,0.9361,0.0734,-0.7751,-0.7456,-0.0734,0.05,0.19,0.09
joda-time,27,5,0,0,22,0.1852,0.19,1.0,0.3125,1.0,0.0,0.1852,0.8148,0.8797,0.9357,0.0751,-0.6945,-0.6232,-0.0751,0.03,0.23,0.06
commons-jcs3-3.1-src,4,3,0,0,1,0.75,0.75,1.0,0.8571,1.0,0.0,0.75,0.25,0.7645,0.8638,0.1275,-0.0145,-0.0067,-0.1275,0.09,0.2,0.1
commons-lang3-3.12.0-src,60,34,0,0,26,0.5667,0.57,1.0,0.7234,1.0,0.0,0.5667,0.4333,0.7925,0.8823,0.1292,-0.2258,-0.1589,-0.1292,0.04,0.19,0.04
commons-jexl3-3.2.1-src,11,11,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6397,0.7645,0.2313,0.3603,0.2355,-0.2313,0.06,0.21,0.09
all,155,81,3,0,71,0.5226,0.53,0.96,0.6864,0.9643,0.0,0.5419,0.4581,0.8367,0.9103,0.0894,-0.3141,-0.2239,-0.0894,0.04,0.21,0.05
