project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
http-request,386,384,0,0,2,0.9948,0.99,1.0,0.9974,1.0,0.0,0.9948,0.0052,0.9912,0.9956,0.0,0.0036,0.0018,0.0,0.19,0.38,0.25
commons-numbers-1.0-src,19098,18948,21,1,128,0.9922,0.99,1.0,0.9961,0.9989,0.0078,0.9932,0.0068,0.9871,0.9935,0.008,0.0051,0.0026,-0.0002,0.16,0.27,0.22
JSON-java,410,340,3,0,67,0.8293,0.84,0.99,0.9067,0.9913,0.0,0.8366,0.1634,0.9683,0.9839,0.01,-0.139,-0.0772,-0.01,0.18,0.32,0.22
commons-pool2-2.11.1-src,320,313,4,0,3,0.9781,0.99,0.99,0.9889,0.9874,0.0,0.9906,0.0094,0.9844,0.9922,0.0118,-0.0063,-0.0033,-0.0118,0.16,0.33,0.23
spark,203,123,6,3,71,0.6207,0.63,0.95,0.7616,0.9535,0.0405,0.6355,0.3645,0.8639,0.9265,0.0802,-0.2432,-0.1649,-0.0397,0.22,0.24,0.22
joda-time,2667,2020,20,13,614,0.7623,0.77,0.99,0.8644,0.9902,0.0207,0.7649,0.2351,0.8797,0.9357,0.0751,-0.1174,-0.0713,-0.0544,0.19,0.26,0.22
jsoup,3556,3326,2,3,225,0.9362,0.94,1.0,0.967,0.9994,0.0132,0.9359,0.0641,0.8804,0.9361,0.0734,0.0558,0.0309,-0.0602,0.09,0.37,0.22
commons-lang3-3.12.0-src,4455,3764,94,22,575,0.8498,0.87,0.98,0.9184,0.9756,0.0369,0.866,0.134,0.7925,0.8823,0.1292,0.0573,0.0361,-0.0923,0.17,0.27,0.2
commons-jcs3-3.1-src,234,192,0,1,41,0.8248,0.82,1.0,0.9035,1.0,0.0238,0.8205,0.1795,0.7645,0.8638,0.1275,0.0603,0.0397,-0.1037,0.19,0.27,0.22
commons-collections4-4.4-src,19,8,0,0,11,0.4211,0.42,1.0,0.5926,1.0,0.0,0.4211,0.5789,0.7784,0.8729,0.1381,-0.3573,-0.2803,-0.1381,0.23,0.25,0.24
bcel-6.5.0-src,1458,1210,45,4,199,0.8326,0.86,0.96,0.9084,0.9641,0.0197,0.8608,0.1392,0.7207,0.8319,0.1767,0.1119,0.0765,-0.157,0.19,0.3,0.23
commons-validator-1.7,511,417,28,0,66,0.816,0.86,0.94,0.8987,0.9371,0.0,0.8708,0.1292,0.7497,0.8528,0.1635,0.0663,0.0459,-0.1635,0.18,0.27,0.22
commons-geometry-1.0-src,371,307,0,2,62,0.8329,0.83,1.0,0.9083,1.0,0.0312,0.8275,0.1725,0.65,0.7733,0.2302,0.1829,0.135,-0.199,0.19,0.27,0.23
commons-imaging-1.0-alpha3-src,177,101,5,0,71,0.5706,0.59,0.95,0.7266,0.9528,0.0,0.5989,0.4011,0.6747,0.7958,0.2016,-0.1041,-0.0692,-0.2016,0.23,0.26,0.24
commons-dbutils-1.7,19,12,0,0,7,0.6316,0.63,1.0,0.7742,1.0,0.0,0.6316,0.3684,0.6703,0.7909,0.2217,-0.0387,-0.0167,-0.2217,0.23,0.24,0.23
commons-jexl3-3.2.1-src,223,147,0,0,76,0.6592,0.66,1.0,0.7946,1.0,0.0,0.6592,0.3408,0.6397,0.7645,0.2313,0.0195,0.0301,-0.2313,0.19,0.31,0.22
commons-rng-1.4-src,257,171,6,3,77,0.677,0.69,0.97,0.8047,0.9661,0.0375,0.6887,0.3113,0.619,0.7413,0.2774,0.058,0.0634,-0.2399,0.18,0.28,0.21
springside4,885,564,29,10,282,0.6486,0.67,0.95,0.7839,0.9511,0.0342,0.6701,0.3299,0.5954,0.7181,0.2816,0.0532,0.0658,-0.2474,0.21,0.23,0.22
commons-vfs-2.9.0,112,95,0,0,17,0.8482,0.85,1.0,0.9179,1.0,0.0,0.8482,0.1518,0.604,0.7279,0.2723,0.2442,0.19,-0.2723,0.22,0.25,0.23
async-http-client,7,3,0,0,4,0.4286,0.43,1.0,0.6,1.0,0.0,0.4286,0.5714,0.5883,0.7115,0.2749,-0.1597,-0.1115,-0.2749,0.18,0.28,0.24
commons-configuration2-2.8.0-src,211,129,1,1,80,0.6161,0.62,0.99,0.7611,0.9923,0.0123,0.6161,0.3839,0.5644,0.6782,0.3232,0.0517,0.0829,-0.3109,0.21,0.25,0.22
commons-net-3.8.0,439,307,7,2,123,0.7039,0.71,0.98,0.8253,0.9777,0.016,0.7153,0.2847,0.5552,0.6661,0.3304,0.1487,0.1592,-0.3144,0.22,0.23,0.22
commons-weaver-2.0-src,23,19,0,0,4,0.8261,0.83,1.0,0.9048,1.0,0.0,0.8261,0.1739,0.5548,0.6629,0.3453,0.2713,0.2419,-0.3453,0.2,0.3,0.23
commons-beanutils-1.9.4,459,243,9,0,207,0.5294,0.54,0.96,0.6923,0.9643,0.0,0.549,0.451,0.5195,0.5895,0.4227,0.0099,0.1028,-0.4227,0.19,0.31,0.22
scribejava,19,11,0,0,8,0.5789,0.58,1.0,0.7333,1.0,0.0,0.5789,0.4211,0.5027,0.5064,0.5046,0.0762,0.2269,-0.5046,0.18,0.28,0.22
all,36519,33154,280,65,3020,0.9096,0.92,0.99,0.9526,0.9916,0.0211,0.9155,0.0845,0.8367,0.9103,0.0894,0.0729,0.0423,-0.0683,0.16,0.28,0.22
