project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-numbers-1.0-src,2363,2269,18,1,75,0.9606,0.97,0.99,0.9799,0.9921,0.0132,0.9678,0.0322,0.9871,0.9935,0.008,-0.0265,-0.0136,0.0052,0.13,0.24,0.16
JSON-java,127,99,3,0,25,0.7795,0.8,0.97,0.8761,0.9706,0.0,0.8031,0.1969,0.9683,0.9839,0.01,-0.1888,-0.1078,-0.01,0.15,0.3,0.18
commons-pool2-2.11.1-src,44,39,2,0,3,0.8864,0.93,0.95,0.9398,0.9512,0.0,0.9318,0.0682,0.9844,0.9922,0.0118,-0.098,-0.0524,-0.0118,0.15,0.26,0.19
spark,57,31,5,1,20,0.5614,0.61,0.86,0.7126,0.8611,0.0476,0.6316,0.3684,0.8639,0.9265,0.0802,-0.3025,-0.2139,-0.0326,0.15,0.22,0.17
joda-time,683,476,5,3,199,0.7013,0.71,0.99,0.8235,0.9896,0.0149,0.7042,0.2958,0.8797,0.9357,0.0751,-0.1784,-0.1122,-0.0602,0.14,0.22,0.17
commons-jcs3-3.1-src,53,36,0,1,16,0.6981,0.69,1.0,0.8182,1.0,0.0588,0.6792,0.3208,0.7645,0.8638,0.1275,-0.0664,-0.0456,-0.0687,0.15,0.22,0.17
commons-lang3-3.12.0-src,1476,1233,32,12,199,0.8435,0.86,0.97,0.9143,0.9747,0.0569,0.857,0.143,0.7925,0.8823,0.1292,0.051,0.032,-0.0723,0.12,0.24,0.16
jsoup,1035,925,0,0,110,0.8937,0.89,1.0,0.9439,1.0,0.0,0.8937,0.1063,0.8804,0.9361,0.0734,0.0133,0.0078,-0.0734,0.09,0.34,0.19
bcel-6.5.0-src,304,257,3,3,41,0.8553,0.86,0.99,0.9211,0.9885,0.0682,0.8553,0.1447,0.7207,0.8319,0.1767,0.1346,0.0892,-0.1085,0.17,0.23,0.19
commons-collections4-4.4-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7784,0.8729,0.1381,-0.7784,-0.8729,-0.1381,0.15,0.29,0.19
commons-geometry-1.0-src,48,36,0,1,11,0.7708,0.77,1.0,0.8675,1.0,0.0833,0.75,0.25,0.65,0.7733,0.2302,0.1208,0.0942,-0.1469,0.16,0.22,0.19
commons-validator-1.7,147,133,7,0,7,0.9048,0.95,0.95,0.95,0.95,0.0,0.9524,0.0476,0.7497,0.8528,0.1635,0.1551,0.0972,-0.1635,0.14,0.24,0.18
commons-imaging-1.0-alpha3-src,7,5,0,0,2,0.7143,0.71,1.0,0.8333,1.0,0.0,0.7143,0.2857,0.6747,0.7958,0.2016,0.0396,0.0375,-0.2016,0.19,0.21,0.2
commons-net-3.8.0,92,71,1,2,18,0.7935,0.8,0.99,0.882,0.9861,0.1,0.7826,0.2174,0.5552,0.6661,0.3304,0.2383,0.2159,-0.2304,0.21,0.16,0.19
commons-jexl3-3.2.1-src,37,25,0,0,12,0.6757,0.68,1.0,0.8065,1.0,0.0,0.6757,0.3243,0.6397,0.7645,0.2313,0.036,0.042,-0.2313,0.14,0.25,0.16
springside4,181,92,3,1,85,0.5138,0.52,0.97,0.6765,0.9684,0.0116,0.5249,0.4751,0.5954,0.7181,0.2816,-0.0816,-0.0416,-0.27,0.17,0.2,0.18
commons-vfs-2.9.0,13,11,0,0,2,0.8462,0.85,1.0,0.9167,1.0,0.0,0.8462,0.1538,0.604,0.7279,0.2723,0.2422,0.1888,-0.2723,0.18,0.22,0.19
commons-rng-1.4-src,89,64,0,0,25,0.7191,0.72,1.0,0.8366,1.0,0.0,0.7191,0.2809,0.619,0.7413,0.2774,0.1001,0.0953,-0.2774,0.15,0.24,0.18
commons-configuration2-2.8.0-src,47,21,1,1,24,0.4681,0.47,0.95,0.6269,0.9545,0.04,0.4681,0.5319,0.5644,0.6782,0.3232,-0.0963,-0.0513,-0.2832,0.18,0.21,0.18
commons-weaver-2.0-src,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5548,0.6629,0.3453,0.4452,0.3371,-0.3453,0.14,0.29,0.2
commons-beanutils-1.9.4,83,33,1,0,49,0.3976,0.4,0.97,0.569,0.9706,0.0,0.4096,0.5904,0.5195,0.5895,0.4227,-0.1219,-0.0205,-0.4227,0.16,0.31,0.19
scribejava,3,1,0,0,2,0.3333,0.33,1.0,0.5,1.0,0.0,0.3333,0.6667,0.5027,0.5064,0.5046,-0.1694,-0.0064,-0.5046,0.15,0.24,0.17
all,6892,5859,81,26,926,0.8539,0.86,0.99,0.9209,0.9864,0.0273,0.8619,0.1381,0.8367,0.9103,0.0894,0.0172,0.0106,-0.0621,0.13,0.26,0.17
