project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-lang3-3.12.0-src,529,464,24,19,22,0.913,0.95,0.95,0.9528,0.9508,0.4634,0.9225,0.0775,0.7753,0.8711,0.1245,0.1377,0.0817,0.3389,0.13,0.18,0.13
commons-numbers-1.0-src,355,320,22,1,12,0.9042,0.96,0.94,0.9496,0.9357,0.0769,0.9634,0.0366,0.9512,0.975,0.0317,-0.047,-0.0254,0.0452,0.12,0.18,0.14
joda-time,260,204,11,11,34,0.8269,0.86,0.95,0.9007,0.9488,0.2444,0.8269,0.1731,0.6062,0.7308,0.2668,0.2207,0.1699,-0.0224,0.08,0.18,0.11
JSON-java,33,12,15,1,5,0.3939,0.71,0.44,0.5455,0.4444,0.1667,0.8182,0.1818,0.6603,0.7836,0.2022,-0.2664,-0.2381,-0.0355,0.09,0.22,0.11
commons-pool2-2.11.1-src,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.923,0.9598,0.0359,-0.923,-0.9598,-0.0359,0.06,0.25,0.15
jsoup,111,90,1,1,19,0.8198,0.83,0.99,0.9,0.989,0.05,0.8198,0.1802,0.8255,0.9035,0.0939,-0.0057,-0.0035,-0.0439,0.07,0.27,0.13
commons-validator-1.7,91,85,6,0,0,0.9341,1.0,0.93,0.9659,0.9341,0.0,1.0,0.0,0.8725,0.9314,0.0724,0.0616,0.0345,-0.0724,0.08,0.22,0.12
bcel-6.5.0-src,28,21,6,0,1,0.75,0.95,0.78,0.8571,0.7778,0.0,0.9643,0.0357,0.7245,0.8352,0.156,0.0255,0.0219,-0.156,0.13,0.18,0.14
commons-geometry-1.0-src,19,16,3,0,0,0.8421,1.0,0.84,0.9143,0.8421,0.0,1.0,0.0,0.6919,0.8093,0.1905,0.1502,0.105,-0.1905,0.1,0.18,0.14
commons-net-3.8.0,36,29,5,0,2,0.8056,0.94,0.85,0.8923,0.8529,0.0,0.9444,0.0556,0.668,0.7882,0.2334,0.1376,0.1041,-0.2334,0.18,0.1,0.13
commons-vfs-2.9.0,6,6,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6412,0.761,0.2432,0.3588,0.239,-0.2432,0.13,0.15,0.14
commons-rng-1.4-src,34,25,9,0,0,0.7353,1.0,0.74,0.8475,0.7353,0.0,1.0,0.0,0.5654,0.6835,0.3014,0.1699,0.164,-0.3014,0.11,0.19,0.14
commons-jcs3-3.1-src,16,15,0,0,1,0.9375,0.94,1.0,0.9677,1.0,0.0,0.9375,0.0625,0.5665,0.6809,0.3191,0.371,0.2868,-0.3191,0.09,0.16,0.11
commons-jexl3-3.2.1-src,11,11,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5613,0.6635,0.3659,0.4387,0.3365,-0.3659,0.14,0.18,0.14
springside4,47,47,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5205,0.6097,0.3782,0.4795,0.3903,-0.3782,0.12,0.17,0.14
spark,23,17,4,0,2,0.7391,0.89,0.81,0.85,0.8095,0.0,0.913,0.087,0.4992,0.5377,0.4545,0.2399,0.3123,-0.4545,0.12,0.18,0.13
commons-beanutils-1.9.4,4,2,0,0,2,0.5,0.5,1.0,0.6667,1.0,0.0,0.5,0.5,0.5049,0.4978,0.5175,-0.0049,0.1689,-0.5175,0.12,0.2,0.15
commons-configuration2-2.8.0-src,7,4,0,0,3,0.5714,0.57,1.0,0.7273,1.0,0.0,0.5714,0.4286,0.4979,0.4486,0.539,0.0735,0.2787,-0.539,0.12,0.16,0.13
all,1611,1368,107,33,103,0.8696,0.93,0.93,0.9287,0.9275,0.2426,0.9156,0.0844,0.8008,0.8879,0.1325,0.0688,0.0408,0.1101,0.12,0.19,0.13
