project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
joda-time,14,8,0,1,5,0.6429,0.62,1.0,0.7619,1.0,0.1667,0.5714,0.4286,0.8816,0.9367,0.07,-0.2387,-0.1748,0.0967,0.01,0.06,0.02
commons-numbers-1.0-src,5,5,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9875,0.9937,0.008,0.0125,0.0063,-0.008,0.0,0.07,0.04
jsoup,4,3,1,0,0,0.75,1.0,0.75,0.8571,0.75,0.0,1.0,0.0,0.8801,0.936,0.056,-0.1301,-0.0789,-0.056,0.01,0.14,0.04
commons-lang3-3.12.0-src,8,8,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7929,0.8829,0.1034,0.2071,0.1171,-0.1034,0.01,0.07,0.03
all,31,24,1,1,5,0.8065,0.83,0.96,0.8889,0.96,0.1667,0.8065,0.1935,0.8367,0.9103,0.0894,-0.0302,-0.0214,0.0773,0.01,0.08,0.03
