project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
JSON-java,129,96,6,1,26,0.7519,0.79,0.94,0.8571,0.9412,0.037,0.7907,0.2093,0.9683,0.9839,0.01,-0.2164,-0.1268,0.027,0.14,0.3,0.17
commons-numbers-1.0-src,2783,2684,19,1,79,0.9648,0.97,0.99,0.9821,0.993,0.0125,0.9713,0.0287,0.9871,0.9935,0.008,-0.0223,-0.0114,0.0045,0.12,0.24,0.16
commons-pool2-2.11.1-src,63,58,2,0,3,0.9206,0.95,0.97,0.9587,0.9667,0.0,0.9524,0.0476,0.9844,0.9922,0.0118,-0.0638,-0.0335,-0.0118,0.13,0.28,0.19
commons-jcs3-3.1-src,57,38,0,2,17,0.7018,0.69,1.0,0.8172,1.0,0.1053,0.6667,0.3333,0.7645,0.8638,0.1275,-0.0627,-0.0466,-0.0222,0.14,0.22,0.16
spark,58,32,4,1,21,0.569,0.6,0.89,0.7191,0.8889,0.0455,0.6207,0.3793,0.8639,0.9265,0.0802,-0.2949,-0.2074,-0.0347,0.13,0.22,0.17
joda-time,882,627,5,10,240,0.7222,0.72,0.99,0.8366,0.9921,0.04,0.7166,0.2834,0.8797,0.9357,0.0751,-0.1575,-0.0991,-0.0351,0.12,0.22,0.16
bcel-6.5.0-src,340,254,24,8,54,0.7706,0.82,0.91,0.8669,0.9137,0.129,0.8176,0.1824,0.7207,0.8319,0.1767,0.0499,0.035,-0.0477,0.17,0.23,0.19
jsoup,1166,1035,1,0,130,0.8877,0.89,1.0,0.9405,0.999,0.0,0.8885,0.1115,0.8804,0.9361,0.0734,0.0073,0.0044,-0.0734,0.06,0.34,0.18
commons-lang3-3.12.0-src,1816,1535,35,8,238,0.8497,0.87,0.98,0.9183,0.9777,0.0325,0.8645,0.1355,0.7925,0.8823,0.1292,0.0572,0.036,-0.0967,0.11,0.24,0.16
commons-collections4-4.4-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7784,0.8729,0.1381,-0.7784,-0.8729,-0.1381,0.12,0.29,0.19
commons-validator-1.7,188,149,27,0,12,0.7926,0.93,0.85,0.8843,0.8466,0.0,0.9362,0.0638,0.7497,0.8528,0.1635,0.0429,0.0315,-0.1635,0.12,0.24,0.17
commons-imaging-1.0-alpha3-src,15,8,0,0,7,0.5333,0.53,1.0,0.6957,1.0,0.0,0.5333,0.4667,0.6747,0.7958,0.2016,-0.1414,-0.1001,-0.2016,0.18,0.21,0.19
commons-net-3.8.0,115,84,6,3,22,0.7565,0.79,0.93,0.8571,0.9333,0.12,0.7826,0.2174,0.5552,0.6661,0.3304,0.2013,0.191,-0.2104,0.2,0.17,0.18
commons-rng-1.4-src,102,61,10,2,29,0.6176,0.68,0.86,0.7578,0.8592,0.0645,0.6961,0.3039,0.619,0.7413,0.2774,-0.0014,0.0165,-0.2129,0.13,0.25,0.17
commons-dbutils-1.7,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6703,0.7909,0.2217,0.3297,0.2091,-0.2217,0.22,0.18,0.2
commons-geometry-1.0-src,61,44,5,0,12,0.7213,0.79,0.9,0.8381,0.898,0.0,0.8033,0.1967,0.65,0.7733,0.2302,0.0713,0.0648,-0.2302,0.13,0.23,0.18
commons-jexl3-3.2.1-src,38,25,0,0,13,0.6579,0.66,1.0,0.7937,1.0,0.0,0.6579,0.3421,0.6397,0.7645,0.2313,0.0182,0.0292,-0.2313,0.13,0.25,0.16
springside4,258,136,6,5,111,0.5465,0.55,0.96,0.6992,0.9577,0.0431,0.5504,0.4496,0.5954,0.7181,0.2816,-0.0489,-0.0189,-0.2385,0.15,0.21,0.18
commons-vfs-2.9.0,15,12,0,0,3,0.8,0.8,1.0,0.8889,1.0,0.0,0.8,0.2,0.604,0.7279,0.2723,0.196,0.161,-0.2723,0.17,0.22,0.18
commons-configuration2-2.8.0-src,61,28,0,1,32,0.4754,0.47,1.0,0.6364,1.0,0.0303,0.459,0.541,0.5644,0.6782,0.3232,-0.089,-0.0418,-0.2929,0.18,0.21,0.18
commons-weaver-2.0-src,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5548,0.6629,0.3453,0.4452,0.3371,-0.3453,0.11,0.3,0.2
commons-beanutils-1.9.4,95,39,2,0,54,0.4105,0.42,0.95,0.5821,0.9512,0.0,0.4316,0.5684,0.5195,0.5895,0.4227,-0.109,-0.0074,-0.4227,0.15,0.3,0.19
scribejava,4,1,0,0,3,0.25,0.25,1.0,0.4,1.0,0.0,0.25,0.75,0.5027,0.5064,0.5046,-0.2527,-0.1064,-0.5046,0.14,0.27,0.18
all,8253,6952,152,42,1107,0.8474,0.86,0.98,0.917,0.9786,0.0366,0.8608,0.1392,0.8367,0.9103,0.0894,0.0107,0.0067,-0.0528,0.12,0.26,0.16
