project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-numbers-1.0-src,19047,18899,19,2,127,0.9923,0.99,1.0,0.9962,0.999,0.0155,0.9932,0.0068,0.9871,0.9935,0.008,0.0052,0.0027,0.0075,0.15,0.27,0.22
JSON-java,394,321,6,1,66,0.8173,0.83,0.98,0.8992,0.9817,0.0149,0.8299,0.1701,0.9683,0.9839,0.01,-0.151,-0.0847,0.0049,0.17,0.31,0.21
http-request,301,299,0,0,2,0.9934,0.99,1.0,0.9967,1.0,0.0,0.9934,0.0066,0.9912,0.9956,0.0,0.0022,0.0011,0.0,0.19,0.38,0.25
commons-jcs3-3.1-src,234,181,11,5,37,0.7949,0.83,0.94,0.8829,0.9427,0.119,0.8205,0.1795,0.7645,0.8638,0.1275,0.0304,0.0191,-0.0085,0.17,0.27,0.21
commons-pool2-2.11.1-src,319,308,8,0,3,0.9655,0.99,0.97,0.9825,0.9747,0.0,0.9906,0.0094,0.9844,0.9922,0.0118,-0.0189,-0.0097,-0.0118,0.14,0.33,0.23
joda-time,2578,1890,70,39,579,0.7483,0.77,0.96,0.8535,0.9643,0.0631,0.7603,0.2397,0.8797,0.9357,0.0751,-0.1314,-0.0822,-0.012,0.18,0.25,0.21
spark,201,123,4,3,71,0.6269,0.63,0.97,0.7664,0.9685,0.0405,0.6318,0.3682,0.8639,0.9265,0.0802,-0.237,-0.1601,-0.0397,0.21,0.24,0.22
jsoup,3549,3318,4,2,225,0.9355,0.94,1.0,0.9666,0.9988,0.0088,0.936,0.064,0.8804,0.9361,0.0734,0.0551,0.0305,-0.0646,0.06,0.37,0.22
commons-lang3-3.12.0-src,4409,3732,85,20,572,0.851,0.87,0.98,0.9191,0.9777,0.0338,0.8657,0.1343,0.7925,0.8823,0.1292,0.0585,0.0368,-0.0954,0.15,0.27,0.2
bcel-6.5.0-src,1427,1126,98,16,187,0.8003,0.86,0.92,0.8877,0.9199,0.0788,0.8577,0.1423,0.7207,0.8319,0.1767,0.0796,0.0558,-0.0979,0.18,0.3,0.23
commons-validator-1.7,509,398,45,2,64,0.7859,0.86,0.9,0.8796,0.8984,0.0303,0.8703,0.1297,0.7497,0.8528,0.1635,0.0362,0.0268,-0.1332,0.17,0.27,0.21
commons-collections4-4.4-src,17,2,6,0,9,0.1176,0.18,0.25,0.2105,0.25,0.0,0.4706,0.5294,0.7784,0.8729,0.1381,-0.6608,-0.6624,-0.1381,0.2,0.25,0.23
commons-imaging-1.0-alpha3-src,175,100,5,0,70,0.5714,0.59,0.95,0.7273,0.9524,0.0,0.6,0.4,0.6747,0.7958,0.2016,-0.1033,-0.0685,-0.2016,0.22,0.26,0.24
commons-dbutils-1.7,19,11,1,0,7,0.5789,0.61,0.92,0.7333,0.9167,0.0,0.6316,0.3684,0.6703,0.7909,0.2217,-0.0914,-0.0576,-0.2217,0.22,0.24,0.23
commons-geometry-1.0-src,365,293,8,0,64,0.8027,0.82,0.97,0.8906,0.9734,0.0,0.8247,0.1753,0.65,0.7733,0.2302,0.1527,0.1173,-0.2302,0.18,0.27,0.23
commons-jexl3-3.2.1-src,220,145,0,0,75,0.6591,0.66,1.0,0.7945,1.0,0.0,0.6591,0.3409,0.6397,0.7645,0.2313,0.0194,0.03,-0.2313,0.18,0.31,0.22
commons-rng-1.4-src,250,162,14,2,72,0.656,0.69,0.92,0.7902,0.9205,0.027,0.704,0.296,0.619,0.7413,0.2774,0.037,0.0489,-0.2504,0.17,0.28,0.21
springside4,884,577,16,7,284,0.6606,0.67,0.97,0.7937,0.973,0.0241,0.6708,0.3292,0.5954,0.7181,0.2816,0.0652,0.0756,-0.2575,0.2,0.23,0.22
commons-configuration2-2.8.0-src,209,122,6,5,76,0.6077,0.62,0.95,0.7485,0.9531,0.0617,0.6124,0.3876,0.5644,0.6782,0.3232,0.0433,0.0703,-0.2615,0.2,0.25,0.22
commons-vfs-2.9.0,111,94,1,0,16,0.8468,0.85,0.99,0.9171,0.9895,0.0,0.8559,0.1441,0.604,0.7279,0.2723,0.2428,0.1892,-0.2723,0.21,0.25,0.23
async-http-client,7,3,0,0,4,0.4286,0.43,1.0,0.6,1.0,0.0,0.4286,0.5714,0.5883,0.7115,0.2749,-0.1597,-0.1115,-0.2749,0.13,0.28,0.23
commons-net-3.8.0,426,289,13,4,120,0.6878,0.71,0.96,0.8129,0.957,0.0323,0.7089,0.2911,0.5552,0.6661,0.3304,0.1326,0.1468,-0.2981,0.2,0.23,0.22
commons-weaver-2.0-src,23,19,0,0,4,0.8261,0.83,1.0,0.9048,1.0,0.0,0.8261,0.1739,0.5548,0.6629,0.3453,0.2713,0.2419,-0.3453,0.19,0.3,0.23
commons-beanutils-1.9.4,455,178,72,9,196,0.411,0.48,0.71,0.5705,0.712,0.0439,0.5495,0.4505,0.5195,0.5895,0.4227,-0.1085,-0.019,-0.3788,0.19,0.31,0.22
scribejava,19,11,0,0,8,0.5789,0.58,1.0,0.7333,1.0,0.0,0.5789,0.4211,0.5027,0.5064,0.5046,0.0762,0.2269,-0.5046,0.16,0.28,0.22
all,36148,32601,492,117,2938,0.9051,0.92,0.99,0.95,0.9851,0.0383,0.9155,0.0845,0.8367,0.9103,0.0894,0.0684,0.0397,-0.0511,0.15,0.28,0.22
