project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
JSON-java,14,9,4,1,0,0.7143,1.0,0.69,0.8182,0.6923,1.0,0.9286,0.0714,0.9683,0.9839,0.01,-0.254,-0.1657,0.99,0.06,0.21,0.09
joda-time,51,21,0,3,27,0.4706,0.44,1.0,0.6087,1.0,0.1,0.4118,0.5882,0.8797,0.9357,0.0751,-0.4091,-0.327,0.0249,0.02,0.21,0.06
commons-numbers-1.0-src,47,36,0,0,11,0.766,0.77,1.0,0.8675,1.0,0.0,0.766,0.234,0.9871,0.9935,0.008,-0.2211,-0.126,-0.008,0.06,0.2,0.08
jsoup,37,19,0,0,18,0.5135,0.51,1.0,0.6786,1.0,0.0,0.5135,0.4865,0.8804,0.9361,0.0734,-0.3669,-0.2575,-0.0734,0.01,0.19,0.08
commons-jcs3-3.1-src,4,3,0,0,1,0.75,0.75,1.0,0.8571,1.0,0.0,0.75,0.25,0.7645,0.8638,0.1275,-0.0145,-0.0067,-0.1275,0.08,0.2,0.1
commons-lang3-3.12.0-src,97,56,0,0,41,0.5773,0.58,1.0,0.732,1.0,0.0,0.5773,0.4227,0.7925,0.8823,0.1292,-0.2152,-0.1503,-0.1292,0.03,0.2,0.04
commons-jexl3-3.2.1-src,11,11,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6397,0.7645,0.2313,0.3603,0.2355,-0.2313,0.05,0.21,0.08
commons-rng-1.4-src,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.619,0.7413,0.2774,0.381,0.2587,-0.2774,0.07,0.16,0.1
all,263,157,4,4,98,0.6122,0.62,0.98,0.7548,0.9752,0.0392,0.6122,0.3878,0.8367,0.9103,0.0894,-0.2245,-0.1555,-0.0502,0.04,0.2,0.06
