project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-pool2-2.11.1-src,5543,5322,146,7,68,0.9614,0.99,0.97,0.9803,0.9733,0.0933,0.9865,0.0135,0.9844,0.9922,0.0118,-0.023,-0.0119,0.0815,0.28,0.46,0.39
commons-numbers-1.0-src,39260,38969,42,12,237,0.9929,0.99,1.0,0.9964,0.9989,0.0482,0.9937,0.0063,0.9871,0.9935,0.008,0.0058,0.0029,0.0402,0.18,0.29,0.25
http-request,4029,4012,0,0,17,0.9958,1.0,1.0,0.9979,1.0,0.0,0.9958,0.0042,0.9912,0.9956,0.0,0.0046,0.0023,0.0,0.27,0.43,0.34
JSON-java,12110,11895,19,1,195,0.9823,0.98,1.0,0.9911,0.9984,0.0051,0.9838,0.0162,0.9683,0.9839,0.01,0.014,0.0072,-0.0049,0.23,0.5,0.41
joda-time,21358,19500,89,49,1720,0.9153,0.92,1.0,0.9557,0.9955,0.0277,0.9172,0.0828,0.8797,0.9357,0.0751,0.0356,0.02,-0.0474,0.27,0.45,0.38
jsoup,7968,7388,70,11,499,0.9286,0.94,0.99,0.9629,0.9906,0.0216,0.936,0.064,0.8804,0.9361,0.0734,0.0482,0.0268,-0.0518,0.11,0.43,0.28
spark,4424,4046,16,5,357,0.9157,0.92,1.0,0.9559,0.9961,0.0138,0.9182,0.0818,0.8639,0.9265,0.0802,0.0518,0.0294,-0.0664,0.33,0.48,0.41
commons-lang3-3.12.0-src,12081,10358,295,72,1356,0.8633,0.88,0.97,0.9262,0.9723,0.0504,0.8818,0.1182,0.7925,0.8823,0.1292,0.0708,0.0439,-0.0788,0.21,0.35,0.27
commons-jcs3-3.1-src,4321,3771,6,8,536,0.8746,0.88,1.0,0.933,0.9984,0.0147,0.8741,0.1259,0.7645,0.8638,0.1275,0.1101,0.0692,-0.1128,0.29,0.41,0.34
commons-collections4-4.4-src,1234,1081,1,1,151,0.8768,0.88,1.0,0.9343,0.9991,0.0066,0.8768,0.1232,0.7784,0.8729,0.1381,0.0984,0.0614,-0.1315,0.36,0.43,0.4
bcel-6.5.0-src,15284,12384,332,58,2510,0.8141,0.83,0.97,0.8971,0.9739,0.0226,0.832,0.168,0.7207,0.8319,0.1767,0.0934,0.0652,-0.1541,0.28,0.45,0.35
commons-validator-1.7,2600,2072,137,2,389,0.7977,0.84,0.94,0.8874,0.938,0.0051,0.8496,0.1504,0.7497,0.8528,0.1635,0.048,0.0346,-0.1584,0.27,0.37,0.31
commons-imaging-1.0-alpha3-src,2576,1966,32,6,572,0.7655,0.77,0.98,0.8668,0.984,0.0104,0.7756,0.2244,0.6747,0.7958,0.2016,0.0908,0.071,-0.1912,0.29,0.45,0.38
commons-geometry-1.0-src,5067,3833,96,33,1105,0.763,0.78,0.98,0.8646,0.9756,0.029,0.7754,0.2246,0.65,0.7733,0.2302,0.113,0.0913,-0.2012,0.3,0.46,0.37
springside4,2555,1737,109,55,654,0.7014,0.73,0.94,0.8199,0.941,0.0776,0.7225,0.2775,0.5954,0.7181,0.2816,0.106,0.1018,-0.204,0.25,0.35,0.3
commons-rng-1.4-src,1639,1145,62,27,405,0.7151,0.74,0.95,0.8306,0.9486,0.0625,0.7364,0.2636,0.619,0.7413,0.2774,0.0961,0.0893,-0.2149,0.28,0.4,0.33
commons-dbutils-1.7,710,565,0,0,145,0.7958,0.8,1.0,0.8863,1.0,0.0,0.7958,0.2042,0.6703,0.7909,0.2217,0.1255,0.0954,-0.2217,0.28,0.47,0.39
commons-jexl3-3.2.1-src,2915,2219,5,5,686,0.763,0.76,1.0,0.8653,0.9978,0.0072,0.763,0.237,0.6397,0.7645,0.2313,0.1233,0.1008,-0.2241,0.27,0.45,0.34
commons-vfs-2.9.0,1042,768,1,1,272,0.738,0.74,1.0,0.8491,0.9987,0.0037,0.738,0.262,0.604,0.7279,0.2723,0.134,0.1212,-0.2686,0.31,0.44,0.37
async-http-client,159,112,0,0,47,0.7044,0.7,1.0,0.8266,1.0,0.0,0.7044,0.2956,0.5883,0.7115,0.2749,0.1161,0.1151,-0.2749,0.34,0.47,0.41
commons-configuration2-2.8.0-src,1211,810,3,6,392,0.6738,0.67,1.0,0.804,0.9963,0.0151,0.6713,0.3287,0.5644,0.6782,0.3232,0.1094,0.1258,-0.3081,0.27,0.42,0.33
commons-net-3.8.0,3361,2190,39,8,1124,0.654,0.66,0.98,0.7902,0.9825,0.0071,0.6632,0.3368,0.5552,0.6661,0.3304,0.0988,0.1241,-0.3233,0.31,0.35,0.32
commons-weaver-2.0-src,224,145,2,0,77,0.6473,0.65,0.99,0.7859,0.9864,0.0,0.6562,0.3438,0.5548,0.6629,0.3453,0.0925,0.123,-0.3453,0.31,0.44,0.36
commons-beanutils-1.9.4,1702,989,9,7,697,0.5852,0.59,0.99,0.737,0.991,0.0099,0.5864,0.4136,0.5195,0.5895,0.4227,0.0657,0.1475,-0.4128,0.24,0.4,0.29
scribejava,169,92,0,0,77,0.5444,0.54,1.0,0.705,1.0,0.0,0.5444,0.4556,0.5027,0.5064,0.5046,0.0417,0.1986,-0.5046,0.29,0.44,0.36
all,153542,137369,1511,374,14288,0.8971,0.91,0.99,0.9456,0.9891,0.0255,0.9045,0.0955,0.8367,0.9103,0.0894,0.0604,0.0353,-0.0639,0.23,0.38,0.32
