project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
JSON-java,28,9,14,1,4,0.3571,0.69,0.39,0.5,0.3913,0.2,0.8214,0.1786,0.9683,0.9839,0.01,-0.6112,-0.4839,0.19,0.1,0.19,0.11
commons-rng-1.4-src,15,10,0,2,3,0.8,0.77,1.0,0.8696,1.0,0.4,0.6667,0.3333,0.619,0.7413,0.2774,0.181,0.1283,0.1226,0.13,0.18,0.14
commons-numbers-1.0-src,719,664,16,3,36,0.9277,0.95,0.98,0.9623,0.9765,0.0769,0.9458,0.0542,0.9871,0.9935,0.008,-0.0594,-0.0312,0.0689,0.11,0.25,0.13
joda-time,181,95,4,10,72,0.5801,0.57,0.96,0.7143,0.9596,0.122,0.547,0.453,0.8797,0.9357,0.0751,-0.2996,-0.2214,0.0469,0.1,0.18,0.11
jsoup,94,48,2,3,41,0.5426,0.54,0.96,0.6906,0.96,0.0682,0.5319,0.4681,0.8804,0.9361,0.0734,-0.3378,-0.2455,-0.0052,0.09,0.2,0.11
commons-pool2-2.11.1-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9844,0.9922,0.0118,-0.9844,-0.9922,-0.0118,0.12,0.18,0.14
commons-lang3-3.12.0-src,431,325,11,10,85,0.7773,0.79,0.97,0.8713,0.9673,0.1053,0.7796,0.2204,0.7925,0.8823,0.1292,-0.0152,-0.011,-0.0239,0.07,0.2,0.08
spark,19,10,3,0,6,0.5263,0.62,0.77,0.6897,0.7692,0.0,0.6842,0.3158,0.8639,0.9265,0.0802,-0.3376,-0.2368,-0.0802,0.13,0.18,0.14
commons-jcs3-3.1-src,18,13,0,0,5,0.7222,0.72,1.0,0.8387,1.0,0.0,0.7222,0.2778,0.7645,0.8638,0.1275,-0.0423,-0.0251,-0.1275,0.11,0.14,0.12
commons-validator-1.7,64,62,2,0,0,0.9688,1.0,0.97,0.9841,0.9688,0.0,1.0,0.0,0.7497,0.8528,0.1635,0.2191,0.1313,-0.1635,0.12,0.2,0.14
bcel-6.5.0-src,16,5,0,0,11,0.3125,0.31,1.0,0.4762,1.0,0.0,0.3125,0.6875,0.7207,0.8319,0.1767,-0.4082,-0.3557,-0.1767,0.14,0.16,0.15
commons-geometry-1.0-src,7,5,0,0,2,0.7143,0.71,1.0,0.8333,1.0,0.0,0.7143,0.2857,0.65,0.7733,0.2302,0.0643,0.06,-0.2302,0.14,0.15,0.14
commons-jexl3-3.2.1-src,12,12,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6397,0.7645,0.2313,0.3603,0.2355,-0.2313,0.07,0.2,0.08
commons-vfs-2.9.0,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.604,0.7279,0.2723,0.396,0.2721,-0.2723,0.15,0.15,0.15
springside4,36,18,0,0,18,0.5,0.5,1.0,0.6667,1.0,0.0,0.5,0.5,0.5954,0.7181,0.2816,-0.0954,-0.0514,-0.2816,0.14,0.16,0.14
commons-configuration2-2.8.0-src,4,2,0,0,2,0.5,0.5,1.0,0.6667,1.0,0.0,0.5,0.5,0.5644,0.6782,0.3232,-0.0644,-0.0115,-0.3232,0.11,0.2,0.12
commons-net-3.8.0,11,8,0,0,3,0.7273,0.73,1.0,0.8421,1.0,0.0,0.7273,0.2727,0.5552,0.6661,0.3304,0.1721,0.176,-0.3304,0.19,0.08,0.14
commons-beanutils-1.9.4,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5195,0.5895,0.4227,-0.5195,-0.5895,-0.4227,0.13,0.27,0.15
scribejava,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5027,0.5064,0.5046,-0.5027,-0.5064,-0.5046,0.15,0.11,0.15
all,1661,1288,52,29,292,0.7929,0.82,0.96,0.8822,0.9612,0.0903,0.8067,0.1933,0.8367,0.9103,0.0894,-0.0438,-0.0281,0.0009,0.1,0.23,0.12
