project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-numbers-1.0-src,19047,18887,31,8,121,0.992,0.99,1.0,0.996,0.9984,0.062,0.9932,0.0068,0.9871,0.9935,0.008,0.0049,0.0025,0.054,0.16,0.27,0.22
JSON-java,394,313,14,1,66,0.797,0.83,0.96,0.8867,0.9572,0.0149,0.8299,0.1701,0.9683,0.9839,0.01,-0.1713,-0.0972,0.0049,0.18,0.34,0.21
http-request,301,299,0,0,2,0.9934,0.99,1.0,0.9967,1.0,0.0,0.9934,0.0066,0.9912,0.9956,0.0,0.0022,0.0011,0.0,0.19,0.4,0.25
commons-pool2-2.11.1-src,319,307,9,0,3,0.9624,0.99,0.97,0.9808,0.9715,0.0,0.9906,0.0094,0.9844,0.9922,0.0118,-0.022,-0.0114,-0.0118,0.16,0.36,0.23
commons-jcs3-3.1-src,234,188,4,4,38,0.8205,0.83,0.98,0.8995,0.9792,0.0952,0.8205,0.1795,0.7645,0.8638,0.1275,0.056,0.0357,-0.0323,0.19,0.27,0.21
joda-time,2583,1927,38,26,592,0.7561,0.76,0.98,0.8595,0.9807,0.0421,0.7607,0.2393,0.8797,0.9357,0.0751,-0.1236,-0.0762,-0.033,0.19,0.25,0.21
jsoup,3549,3316,6,8,219,0.9366,0.94,1.0,0.9672,0.9982,0.0352,0.936,0.064,0.8804,0.9361,0.0734,0.0562,0.0311,-0.0382,0.09,0.39,0.22
spark,201,120,7,3,71,0.6119,0.63,0.94,0.7547,0.9449,0.0405,0.6318,0.3682,0.8639,0.9265,0.0802,-0.252,-0.1718,-0.0397,0.22,0.23,0.22
commons-lang3-3.12.0-src,4411,3708,110,32,561,0.8479,0.87,0.97,0.917,0.9712,0.054,0.8656,0.1344,0.7925,0.8823,0.1292,0.0554,0.0347,-0.0752,0.17,0.27,0.2
bcel-6.5.0-src,1427,1144,80,10,193,0.8087,0.86,0.93,0.8934,0.9346,0.0493,0.8577,0.1423,0.7207,0.8319,0.1767,0.088,0.0615,-0.1274,0.19,0.31,0.23
commons-collections4-4.4-src,17,8,0,0,9,0.4706,0.47,1.0,0.64,1.0,0.0,0.4706,0.5294,0.7784,0.8729,0.1381,-0.3078,-0.2329,-0.1381,0.22,0.25,0.23
commons-validator-1.7,509,395,48,0,66,0.776,0.86,0.89,0.8739,0.8916,0.0,0.8703,0.1297,0.7497,0.8528,0.1635,0.0263,0.0211,-0.1635,0.18,0.27,0.21
commons-imaging-1.0-alpha3-src,175,98,7,1,69,0.5657,0.59,0.93,0.7206,0.9333,0.0143,0.6,0.4,0.6747,0.7958,0.2016,-0.109,-0.0752,-0.1873,0.23,0.27,0.24
commons-geometry-1.0-src,365,298,3,2,62,0.8219,0.83,0.99,0.9017,0.99,0.0312,0.8247,0.1753,0.65,0.7733,0.2302,0.1719,0.1284,-0.199,0.19,0.29,0.23
commons-rng-1.4-src,251,164,12,5,70,0.6733,0.7,0.93,0.8,0.9318,0.0667,0.7012,0.2988,0.619,0.7413,0.2774,0.0543,0.0587,-0.2107,0.18,0.29,0.21
commons-dbutils-1.7,19,12,0,0,7,0.6316,0.63,1.0,0.7742,1.0,0.0,0.6316,0.3684,0.6703,0.7909,0.2217,-0.0387,-0.0167,-0.2217,0.23,0.24,0.23
commons-jexl3-3.2.1-src,220,145,0,0,75,0.6591,0.66,1.0,0.7945,1.0,0.0,0.6591,0.3409,0.6397,0.7645,0.2313,0.0194,0.03,-0.2313,0.19,0.33,0.22
springside4,883,557,35,13,278,0.6455,0.67,0.94,0.7807,0.9409,0.0447,0.6704,0.3296,0.5954,0.7181,0.2816,0.0501,0.0626,-0.2369,0.21,0.22,0.22
commons-configuration2-2.8.0-src,208,126,1,5,76,0.6298,0.62,0.99,0.766,0.9921,0.0617,0.6106,0.3894,0.5644,0.6782,0.3232,0.0654,0.0878,-0.2615,0.21,0.26,0.22
commons-vfs-2.9.0,111,95,0,0,16,0.8559,0.86,1.0,0.9223,1.0,0.0,0.8559,0.1441,0.604,0.7279,0.2723,0.2519,0.1944,-0.2723,0.22,0.25,0.23
async-http-client,7,3,0,0,4,0.4286,0.43,1.0,0.6,1.0,0.0,0.4286,0.5714,0.5883,0.7115,0.2749,-0.1597,-0.1115,-0.2749,0.18,0.29,0.23
commons-net-3.8.0,426,276,26,2,122,0.6526,0.69,0.91,0.7886,0.9139,0.0161,0.7089,0.2911,0.5552,0.6661,0.3304,0.0974,0.1225,-0.3143,0.21,0.22,0.22
commons-weaver-2.0-src,23,19,0,0,4,0.8261,0.83,1.0,0.9048,1.0,0.0,0.8261,0.1739,0.5548,0.6629,0.3453,0.2713,0.2419,-0.3453,0.2,0.32,0.23
commons-beanutils-1.9.4,455,242,8,5,200,0.5429,0.55,0.97,0.6994,0.968,0.0244,0.5495,0.4505,0.5195,0.5895,0.4227,0.0234,0.1099,-0.3983,0.19,0.34,0.22
scribejava,19,11,0,0,8,0.5789,0.58,1.0,0.7333,1.0,0.0,0.5789,0.4211,0.5027,0.5064,0.5046,0.0762,0.2269,-0.5046,0.18,0.29,0.22
all,36154,32658,439,125,2932,0.9068,0.92,0.99,0.9509,0.9867,0.0409,0.9154,0.0846,0.8367,0.9103,0.0894,0.0701,0.0406,-0.0485,0.16,0.28,0.22
