project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
bcel-6.5.0-src,439,328,38,13,60,0.7768,0.85,0.9,0.87,0.8962,0.1781,0.8337,0.1663,0.7245,0.8352,0.156,0.0523,0.0348,0.0221,0.17,0.23,0.18
commons-numbers-1.0-src,3363,3245,34,4,80,0.9661,0.98,0.99,0.9827,0.9896,0.0476,0.975,0.025,0.9512,0.975,0.0317,0.0149,0.0077,0.0159,0.12,0.24,0.16
commons-weaver-2.0-src,6,6,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11,0.31,0.2
commons-pool2-2.11.1-src,77,71,3,0,3,0.9221,0.96,0.96,0.9595,0.9595,0.0,0.961,0.039,0.923,0.9598,0.0359,-0.0009,-0.0003,-0.0359,0.14,0.3,0.18
commons-validator-1.7,229,175,38,0,16,0.7642,0.92,0.82,0.8663,0.8216,0.0,0.9301,0.0699,0.8725,0.9314,0.0724,-0.1083,-0.0651,-0.0724,0.12,0.24,0.16
jsoup,1474,1327,4,2,141,0.9016,0.9,1.0,0.9482,0.997,0.014,0.903,0.097,0.8255,0.9035,0.0939,0.0761,0.0447,-0.0799,0.06,0.36,0.18
commons-lang3-3.12.0-src,2121,1792,51,12,266,0.8505,0.87,0.97,0.9187,0.9723,0.0432,0.8689,0.1311,0.7753,0.8711,0.1245,0.0752,0.0476,-0.0813,0.11,0.24,0.15
commons-dbutils-1.7,9,8,0,0,1,0.8889,0.89,1.0,0.9412,1.0,0.0,0.8889,0.1111,0.8004,0.8841,0.107,0.0885,0.0571,-0.107,0.22,0.14,0.2
commons-jcs3-3.1-src,69,45,2,4,18,0.7101,0.71,0.96,0.8182,0.9574,0.1818,0.6812,0.3188,0.5665,0.6809,0.3191,0.1436,0.1373,-0.1373,0.15,0.21,0.16
commons-net-3.8.0,152,109,11,3,29,0.7368,0.79,0.91,0.845,0.9083,0.0938,0.7895,0.2105,0.668,0.7882,0.2334,0.0688,0.0568,-0.1396,0.19,0.15,0.18
joda-time,1099,781,23,32,263,0.7398,0.75,0.97,0.8452,0.9714,0.1085,0.7316,0.2684,0.6062,0.7308,0.2668,0.1336,0.1144,-0.1583,0.12,0.21,0.16
JSON-java,148,101,15,1,31,0.6892,0.77,0.87,0.8145,0.8707,0.0312,0.7838,0.2162,0.6603,0.7836,0.2022,0.0289,0.0309,-0.171,0.14,0.33,0.17
commons-rng-1.4-src,115,67,12,4,32,0.6174,0.68,0.85,0.7528,0.8481,0.1111,0.687,0.313,0.5654,0.6835,0.3014,0.052,0.0693,-0.1903,0.14,0.24,0.17
commons-geometry-1.0-src,101,76,6,0,19,0.7525,0.8,0.93,0.8588,0.9268,0.0,0.8119,0.1881,0.6919,0.8093,0.1905,0.0606,0.0495,-0.1905,0.15,0.22,0.18
commons-vfs-2.9.0,17,13,0,0,4,0.7647,0.76,1.0,0.8667,1.0,0.0,0.7647,0.2353,0.6412,0.761,0.2432,0.1235,0.1057,-0.2432,0.17,0.19,0.18
springside4,400,238,8,5,149,0.6075,0.61,0.97,0.752,0.9675,0.0325,0.615,0.385,0.5205,0.6097,0.3782,0.087,0.1423,-0.3457,0.16,0.18,0.17
commons-jexl3-3.2.1-src,41,27,0,0,14,0.6585,0.66,1.0,0.7941,1.0,0.0,0.6585,0.3415,0.5613,0.6635,0.3659,0.0972,0.1306,-0.3659,0.13,0.25,0.15
spark,77,38,4,2,33,0.5195,0.54,0.9,0.6726,0.9048,0.0571,0.5455,0.4545,0.4992,0.5377,0.4545,0.0203,0.1349,-0.3974,0.14,0.2,0.16
commons-imaging-1.0-alpha3-src,17,9,0,0,8,0.5294,0.53,1.0,0.6923,1.0,0.0,0.5294,0.4706,0.4882,0.509,0.4597,0.0412,0.1833,-0.4597,0.19,0.17,0.18
commons-configuration2-2.8.0-src,70,32,0,3,35,0.5,0.48,1.0,0.6465,1.0,0.0789,0.4571,0.5429,0.4979,0.4486,0.539,0.0021,0.1979,-0.4601,0.18,0.19,0.18
commons-beanutils-1.9.4,126,57,6,0,63,0.4524,0.48,0.9,0.623,0.9048,0.0,0.5,0.5,0.5049,0.4978,0.5175,-0.0525,0.1252,-0.5175,0.15,0.33,0.19
scribejava,4,1,0,0,3,0.25,0.25,1.0,0.4,1.0,0.0,0.25,0.75,0.6206,0.1895,0.7471,-0.3706,0.2105,-0.7471,0.14,0.27,0.17
async-http-client,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,0.12,0.29,0.19
commons-collections4-4.4-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,0.12,0.31,0.18
all,10156,8546,255,85,1270,0.8498,0.87,0.97,0.9181,0.971,0.0627,0.8666,0.1334,0.8008,0.8879,0.1325,0.049,0.0302,-0.0698,0.12,0.26,0.16
